Date,token_a_amount
13-07-22,2334.940071
14-07-22,1507.091108
15-07-22,1170.066704
16-07-22,1533.765363
17-07-22,335.3834584
18-07-22,1044.756438
19-07-22,1130.899231
20-07-22,5323.579941
21-07-22,751.5658789
22-07-22,1027.354547
23-07-22,502.9465544
24-07-22,763.3526043
25-07-22,4697.215847
26-07-22,713.9436056
27-07-22,2397.883031
28-07-22,1915.398083
29-07-22,760.5754758
30-07-22,1229.119882
31-07-22,926.1168801
01-08-22,517.6768603
02-08-22,427.4839261
03-08-22,19086.79807
04-08-22,2219.87275
05-08-22,28725.03969
06-08-22,1754.412617
07-08-22,159.8982971
08-08-22,65.9831835
09-08-22,379.2959443
10-08-22,950.0276244
11-08-22,1037.179928
12-08-22,983.1771225
13-08-22,238.4070496
14-08-22,783.0450111
15-08-22,284.3247278
16-08-22,287.7554884
17-08-22,308.4562511
18-08-22,369.8781163
19-08-22,1984.349451
20-08-22,435.2168854
21-08-22,418.5242471
22-08-22,526.3912312
23-08-22,340.5942551
24-08-22,103.2540559
25-08-22,497.5122262
26-08-22,468.9650392
27-08-22,623.5301632
28-08-22,413.6145497
29-08-22,312.8086372
30-08-22,313.0765048
31-08-22,370.9835651
01-09-22,294.9615272
02-09-22,378.9913628
03-09-22,263.2430242
04-09-22,166.8856721
05-09-22,213.2792946
06-09-22,2993.31816
07-09-22,367.7870745
08-09-22,2131.055836
09-09-22,537.6450078
10-09-22,348.3706524
11-09-22,319.6656447
12-09-22,660.3750694
13-09-22,1481.896182
14-09-22,696.698822
15-09-22,2453.26598
16-09-22,1392.097435
17-09-22,412.3011659
18-09-22,788.7645271
19-09-22,2506.577495
20-09-22,385.0456716
21-09-22,1403.393966
22-09-22,1190.69193
23-09-22,801.5739623
24-09-22,568.6154242
25-09-22,385.7043464
26-09-22,3472.454571
27-09-22,17583.11351
28-09-22,1410.086608
29-09-22,297.5956198
30-09-22,574.0266333
01-10-22,1222.249852
02-10-22,2753.995624
03-10-22,551.3513825
04-10-22,339.1707871
05-10-22,672.7100588
06-10-22,150.1097457
07-10-22,682.1607525
