Date,BNB_price,WBTC_price,WETH_price,UNI_price,AAVE_price,MKR_price,SNX_price,COMP_price,fear_index,aum,net_flow,DPI_price,Umichigan_survey,ISM_Manufacturing,SPX,NASDAQ,Inflation_CPI,Inflation_PCE,10yr_bond,Fed_funds_rate,2yr_bond,Inflations_expectations,Inflation_surprises,Economic_surprises,Hourly_earnings,MS_Market_Sentiment,VIX,SOFR
2020-12-15,29.746270833333423,19369.27162500009,587.7878819444452,3.411041666666672,86.83871527777785,536.7881527777778,5.373586805555543,151.02686805555592,2.0,22173703.61822686,2311.418626867492,105.72908594456216,76.9,57.3,3694.62,12595.06,0.1,0.0,0.91,0.25,0.11,2.96,14.77,0.53,4.6,0.59,22.89,0.09
2020-12-16,29.694118055555496,20071.429513888816,603.0976805555574,3.383750000000036,84.70285416666648,525.6819861111106,5.183250000000048,153.24453472222288,2.0,22016172.77562792,215743.6397255705,105.91507432738273,76.9,57.3,3701.17,12658.19,0.1,0.0,0.92,0.25,0.12,2.96,14.77,0.4,4.6,0.57,22.5,0.09
2020-12-17,30.709604166666697,22575.692909722176,650.5210694444434,3.715270833333363,85.83928472222233,542.8084930555545,5.283156249999983,160.48129166666644,2.0,23325704.91176076,93779.29117138984,109.4016301315326,76.9,57.3,3722.48,12764.75,0.1,0.0,0.93,0.25,0.12,2.96,14.77,0.36,4.6,0.58,21.93,0.09
2020-12-18,30.528562499999943,22861.00773611103,646.183604166668,3.703277777777787,84.92322916666652,549.561791666666,5.785368055555543,159.43088194444428,2.0,22978498.46149643,-480609.0283749946,110.95868265096033,76.9,57.3,3709.41,12755.64,0.1,0.0,0.95,0.25,0.12,2.96,14.77,0.37,4.6,0.59,21.57,0.09
2020-12-19,32.77623611111117,23355.050826388928,656.6508819444449,4.0477499999999855,91.99943055555528,574.2188125000018,6.271295138888847,159.9824513888894,2.0,24137755.043093704,-47103.7347831767,116.08392542702668,76.9,57.3,3709.41,12755.64,0.1,0.0,0.95,0.25,0.12,2.96,14.77,0.37,4.6,0.59,21.57,0.09
2020-12-20,34.18231250000005,23601.471965277786,649.1790694444458,3.9024583333333087,87.17029166666673,560.1646458333354,6.13669444444435,156.41456250000007,2.0,23546575.658034284,144406.31601440275,112.54693481845749,76.9,57.3,3709.41,12755.64,0.1,0.0,0.95,0.25,0.12,2.96,14.77,0.37,4.6,0.59,21.57,0.09
2020-12-21,33.425333333333434,23268.83240972229,624.8021875000001,3.655423611111108,82.72143055555554,534.0635902777782,6.047111111111148,147.476847222223,2.0,22039698.16199049,7128.4514878426735,104.82391879806576,76.9,57.3,3694.92,12742.52,0.1,0.0,0.93,0.25,0.12,2.96,14.77,0.37,4.6,0.51,25.16,0.09
2020-12-22,32.435034722222206,23082.13663194441,614.3589444444456,3.550437499999982,81.41668749999981,535.3247500000007,6.433875000000003,143.80638888888933,2.0,22111628.730009288,-66307.25896271222,106.00560795148894,76.9,57.3,3687.26,12807.92,0.1,0.0,0.92,0.25,0.11,2.96,14.77,0.35,4.6,0.48,24.23,0.07
2020-12-23,32.772451388889,23540.4601875,611.7653819444446,3.542055555555556,78.1800972222221,529.1377569444451,7.587267361111161,137.66857638888916,2.0,22487999.808502275,266987.07502713666,106.27980620717346,76.9,57.3,3690.01,12771.11,0.1,0.0,0.94,0.25,0.12,2.96,14.77,0.25,4.6,0.49,23.31,0.06
2020-12-24,31.672583333333417,23234.12785416663,587.642388888888,3.334305555555581,76.23801388888899,513.0103541666665,7.076510416666612,131.57709027777773,2.0,20513708.108911388,-377518.7529175088,100.12129063825726,76.9,57.3,3703.06,12804.73,0.1,0.0,0.92,0.25,0.12,2.96,14.77,0.25,4.6,0.5,21.53,0.08
2020-12-25,32.58500694444432,24019.96821527784,617.0720624999996,3.483493055555554,78.38042361111086,534.3192708333331,7.36225694444438,137.44196527777794,2.0,22390755.261859845,343010.6126497477,106.07682271896196,76.9,57.3,3703.06,12804.73,0.1,0.0,0.92,0.25,0.12,2.96,14.77,0.25,4.6,0.49,21.53,0.08
2020-12-26,33.284694444444455,25234.18573611112,630.7611319444428,3.482972222222211,76.99808333333317,534.6143263888857,8.069708333333367,132.1469652777779,2.0,22344333.666192096,-13248.325843664705,106.0156595966383,76.9,57.3,3703.06,12804.73,0.1,0.0,0.92,0.25,0.12,2.96,14.77,0.25,4.6,0.49,21.53,0.08
2020-12-27,33.70251388888891,27039.857187499994,662.2715347222236,3.540041666666643,76.76811805555515,555.2473124999991,8.04396875000003,132.86218055555523,2.0,23086068.43670136,428780.2611082865,107.6355659881541,76.9,57.3,3703.06,12804.73,0.1,0.0,0.92,0.25,0.12,2.96,14.77,0.25,4.6,0.49,21.53,0.08
2020-12-28,35.16138888888894,26932.14573611111,725.0413611111122,3.78183333333332,82.30431944444443,585.0581736111114,8.084729166666724,136.98015277777773,2.0,24762447.347466536,407592.8611586466,112.92901458151208,76.9,57.3,3735.36,12899.42,0.1,0.0,0.92,0.25,0.12,2.96,14.77,0.22,4.6,0.53,21.7,0.09
2020-12-29,37.820763888888905,26662.77649999986,720.0259305555575,3.62097916666666,78.12656944444446,566.4679791666656,7.752559027777773,136.40290277777777,2.0,24186003.94193584,145930.75031063345,110.54535572403614,76.9,57.3,3727.04,12850.22,0.1,0.0,0.94,0.25,0.13,2.96,14.77,0.22,4.6,0.52,23.08,0.1
